algorithm,n_tasks,n_vertices,n_edges,seed,run,time_ms,makespan,crosscheck_ok
A,10000,20002,40476,2,1,21.3405,1299,1
A,10000,20002,40476,2,2,23.1792,1299,1
A,10000,20002,40476,2,3,21.573,1299,1
A,10000,20002,40476,2,4,21.8154,1299,1
A,10000,20002,40476,2,5,23.7489,1299,1
B,10000,20002,40476,2,1,142381.153,1299,1
A,10000,20002,40258,3,1,22.2269,1328,1
A,10000,20002,40258,3,2,21.7158,1328,1
A,10000,20002,40258,3,3,21.6077,1328,1
A,10000,20002,40258,3,4,22.0554,1328,1
A,10000,20002,40258,3,5,21.0829,1328,1
B,10000,20002,40258,3,1,143556.8096,1328,1
A,10000,20002,40348,4,1,25.6424,1324,1
A,10000,20002,40348,4,2,28.1963,1324,1
A,10000,20002,40348,4,3,29.9437,1324,1
A,10000,20002,40348,4,4,23.8166,1324,1
A,10000,20002,40348,4,5,34.1881,1324,1
B,10000,20002,40348,4,1,144517.9015,1324,1
A,10000,20002,40331,5,1,20.1712,1352,1
A,10000,20002,40331,5,2,18.6544,1352,1
A,10000,20002,40331,5,3,19.4495,1352,1
A,10000,20002,40331,5,4,19.4452,1352,1
A,10000,20002,40331,5,5,18.822,1352,1
B,10000,20002,40331,5,1,126382.0513,1352,1
